建物名,住所,緯度,経度,1次メッシュ,2次メッシュ,3次メッシュ,1/2メッシュ,1/4メッシュ,1/8メッシュ
東京ディズニーランド,千葉県浦安市舞浜1-1,35.634303,139.8796155,5339,5339-37,5339-3760,5339-3760-1,5339-3760-1-2,5339-3760-1-2-1
東京ディズニーシー,千葉県浦安市舞浜1-13,35.62650000000001,139.88826,5339,5339-37,5339-3751,5339-3751-1,5339-3751-1-1,5339-3751-1-1-3
銀座三越,東京都中央区銀座4丁目6-16,35.671302,139.76572950000002,5339,5339-46,5339-4601,5339-4601-3,5339-4601-3-2,5339-4601-3-2-1
新宿伊勢丹,東京都新宿区新宿3丁目14-14,35.692452,139.704606,5339,5339-45,5339-4536,5339-4536-1,5339-4536-1-2,5339-4536-1-2-1
東京ドーム,東京都文京区後楽1-3-61,35.70561000000001,139.75181100000003,5339,5339-46,5339-4640,5339-4640-3,5339-4640-3-1,5339-4640-3-1-4
よみうりランド 神奈川,神奈川県川崎市多摩区菅仙谷4-1,35.626284,139.51951200000002,5339,5339-34,5339-3451,5339-3451-2,5339-3451-2-1,5339-3451-2-1-3
よみうりランド 東京,東京都稲城市矢野口4015-1,35.62412400000001,139.5173835,5339,5339-34,5339-3441,5339-3441-3,5339-3441-3-4,5339-3441-3-4-4
日本ビューホテル 浅草,東京都台東区西浅草3丁目17-1,35.715438000000006,139.79188800000003,5339,5339-46,5339-4653,5339-4653-3,5339-4653-3-4,5339-4653-3-4-1
日本ビューホテル 成田,千葉県成田市小菅700,35.781318,140.3547795,5340,5340-52,5340-5238,5340-5238-3,5340-5238-3-4,5340-5238-3-4-2
大井競馬場,東京都品川区勝島2丁目1-2,35.593632,139.74141150000003,5339,5339-35,5339-3519,5339-3519-1,5339-3519-1-2,5339-3519-1-2-3
楽天本社,東京都世田谷区玉川1-14-1,35.61111,139.6295685,5339,5339-35,5339-3530,5339-3530-1,5339-3530-1-4,5339-3530-1-4-1
ファーストリテイリング旗艦店,東京都中央区銀座6丁目9-5,35.670186,139.763466,5339,5339-46,5339-4601,5339-4601-1,5339-4601-1-3,5339-4601-1-3-3
ファーストリテイリング,東京都新宿区新宿3丁目29-1,35.69129100000001,139.7030985,5339,5339-45,5339-4526,5339-4526-3,5339-4526-3-3,5339-4526-3-3-4
大塚家具 有明,東京都江東区有明3-6-11,35.630892,139.79054250000002,5339,5339-36,5339-3653,5339-3653-3,5339-3653-3-1,5339-3653-3-1-4
大塚家具 銀座,東京都中央区銀座1-9-13,35.67365100000001,139.768551,5339,5339-46,5339-4601,5339-4601-3,5339-4601-3-4,5339-4601-3-4-2
大塚家具 新宿,東京都新宿区新宿3-33-1,35.690139,139.70347200000003,5339,5339-45,5339-4526,5339-4526-3,5339-4526-3-4,5339-4526-3-4-1
ニトリ 渋谷区神南,東京都渋谷区神南1-12-13,35.663094,139.70065499999998,5339,5339-35,5339-3596,5339-3596-3,5339-3596-3-1,5339-3596-3-1-1
ニトリ 渋谷区千駄ヶ谷,東京都渋谷区千駄ヶ谷5-24-2,35.685936,139.702536,5339,5339-45,5339-4526,5339-4526-1,5339-4526-1-3,5339-4526-1-3-2
ニトリ 銀座,東京都中央区銀座3-2-1,35.673732,139.765149,5339,5339-46,5339-4601,5339-4601-3,5339-4601-3-3,5339-4601-3-3-2
ニトリ 吉祥寺,東京都武蔵野市吉祥寺本町2-3-1,35.705043,139.5778365,5339,5339-44,5339-4446,5339-4446-3,5339-4446-3-1,5339-4446-3-1-2
ニトリ 池袋,東京都豊島区西池袋1-1-25,35.730999,139.71040650000003,5339,5339-45,5339-4576,5339-4576-4,5339-4576-4-2,5339-4576-4-2-3
